Subject,u,bin_resp,rts
6,0,0,6.52696722236727
6,0,1,6.85640903582409
6,1,0,6.59764107712167
6,1,0,6.21460149840109
6,1,0,6.27922474150812
6,0,1,6.52704404988054
6,1,1,6.27933366456644
6,0,0,6.83876687177056
6,1,0,6.10930247014609
6,0,0,6.27934828672478
6,0,0,6.78374527091235
6,0,1,6.64207759118615
6,1,0,6.83875947891932
6,1,0,6.55115876053874
6,0,1,6.68471097274292
6,1,1,6.76461512687685
6,1,0,6.62022612817094
6,0,0,6.66360027503706
6,1,0,6.39704714831453
6,0,1,6.21456869764611
6,1,0,6.10919135896158
6,1,0,6.52714281943756
6,1,1,6.368744492434
6,1,1,6.7837820611197
6,1,0,6.39701915121124
6,0,0,6.39699998607576
6,1,1,6.39700031938511
6,1,1,6.30989518705062
6,1,1,6.14553922404696
6,1,0,6.27924911430668
6,1,1,6.57463236710555
6,1,1,6.4509488226999
7,1,0,5.64675169972865
7,1,1,6.21470869336257
7,1,1,6.07152217774683
7,1,1,5.99160353744859
7,0,1,5.70400544979631
7,1,0,5.85789943962839
7,1,1,5.90461988349435
7,1,1,5.90467087369156
7,1,1,5.85793229733994
7,0,0,6.33985600248961
7,1,0,6.52707521821662
7,0,1,5.52162530435041
7,1,1,5.80923678591537
7,1,0,6.68470147364101
7,1,0,6.68462397759261
7,1,1,6.0324800429062
7,1,1,5.99155854269002
7,1,1,5.85803600633636
7,0,1,5.80913629029195
7,1,1,6.0716620120362
7,1,1,5.90455471041798
7,1,1,5.90447616985404
7,0,1,5.85809485569423
7,0,1,6.85653461353597
7,0,0,6.1457220069485
7,0,0,5.99168402302179
7,0,0,5.58612068164884
7,0,0,6.62006987319155
7,0,0,5.70393213012427
7,0,0,5.64684909431785
7,0,0,5.52202435909995
7,1,0,5.52161770557111
7,1,0,5.80935946688136
7,1,1,5.75782611670185
7,1,1,5.85808314323443
